geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34003039200,2014,482.0,408.0,48.0,9.0,623.0,369.0,30.0,9.0,34,003,039200
34003039300,2014,337.0,158.0,23.0,11.0,338.0,215.0,19.0,0.0,34,003,039300
34003040001,2014,474.0,210.0,189.0,10.0,487.0,279.0,44.0,15.0,34,003,040001
34003040002,2014,507.0,171.0,105.0,58.0,574.0,268.0,42.0,15.0,34,003,040002
34003041100,2014,816.0,140.0,11.0,0.0,773.0,70.0,11.0,9.0,34,003,041100
34003041200,2014,503.0,189.0,26.0,46.0,719.0,108.0,24.0,15.0,34,003,041200
34003041301,2014,618.0,28.0,0.0,0.0,603.0,115.0,0.0,0.0,34,003,041301
34003041302,2014,560.0,104.0,11.0,1.0,293.0,154.0,7.0,29.0,34,003,041302
34003042100,2014,654.0,235.0,130.0,31.0,709.0,361.0,57.0,31.0,34,003,042100
34003042301,2014,527.0,179.0,103.0,51.0,668.0,172.0,100.0,39.0,34,003,042301
34003042302,2014,593.0,318.0,51.0,21.0,615.0,237.0,67.0,16.0,34,003,042302
34003042400,2014,554.0,148.0,124.0,72.0,434.0,164.0,97.0,39.0,34,003,042400
34003042500,2014,551.0,122.0,125.0,44.0,662.0,250.0,8.0,35.0,34,003,042500
34003043001,2014,477.0,131.0,63.0,32.0,532.0,264.0,52.0,31.0,34,003,043001
34003043002,2014,498.0,269.0,52.0,11.0,511.0,251.0,76.0,0.0,34,003,043002
34003044100,2014,809.0,333.0,237.0,15.0,537.0,374.0,118.0,49.0,34,003,044100
34003044201,2014,598.0,198.0,47.0,5.0,482.0,270.0,40.0,2.0,34,003,044201
34003044202,2014,659.0,266.0,61.0,18.0,585.0,322.0,13.0,16.0,34,003,044202
34003045100,2014,765.0,223.0,25.0,24.0,664.0,229.0,29.0,12.0,34,003,045100
34003045200,2014,303.0,94.0,37.0,0.0,306.0,122.0,33.0,0.0,34,003,045200
34003046100,2014,271.0,183.0,51.0,0.0,361.0,151.0,42.0,27.0,34,003,046100
34003046200,2014,368.0,105.0,9.0,31.0,390.0,166.0,39.0,0.0,34,003,046200
34003046300,2014,254.0,90.0,10.0,0.0,455.0,127.0,0.0,0.0,34,003,046300
34003047100,2014,712.0,487.0,167.0,89.0,729.0,436.0,139.0,43.0,34,003,047100
34003047200,2014,551.0,292.0,143.0,16.0,602.0,265.0,100.0,82.0,34,003,047200
34003047300,2014,340.0,184.0,145.0,21.0,425.0,224.0,96.0,18.0,34,003,047300
34003047400,2014,767.0,310.0,97.0,81.0,849.0,354.0,53.0,59.0,34,003,047400
34003047500,2014,839.0,404.0,261.0,117.0,1085.0,457.0,106.0,35.0,34,003,047500
34003048100,2014,411.0,199.0,48.0,63.0,409.0,206.0,36.0,54.0,34,003,048100
34003048200,2014,790.0,582.0,53.0,47.0,925.0,389.0,89.0,63.0,34,003,048200
34003049001,2014,637.0,263.0,166.0,32.0,566.0,340.0,98.0,12.0,34,003,049001
34003049002,2014,630.0,202.0,82.0,19.0,653.0,327.0,32.0,0.0,34,003,049002
34003050000,2014,485.0,191.0,32.0,31.0,458.0,237.0,0.0,0.0,34,003,050000
34003051100,2014,517.0,240.0,41.0,45.0,551.0,295.0,32.0,28.0,34,003,051100
34003051200,2014,294.0,126.0,32.0,1.0,379.0,148.0,26.0,6.0,34,003,051200
34003051300,2014,602.0,250.0,79.0,7.0,523.0,149.0,20.0,6.0,34,003,051300
34003051400,2014,594.0,331.0,93.0,14.0,620.0,270.0,8.0,0.0,34,003,051400
34003052100,2014,473.0,180.0,19.0,11.0,513.0,134.0,43.0,4.0,34,003,052100
34003052200,2014,569.0,173.0,11.0,50.0,681.0,249.0,20.0,0.0,34,003,052200
34003053100,2014,296.0,261.0,96.0,24.0,323.0,121.0,74.0,3.0,34,003,053100
34003053200,2014,1050.0,473.0,355.0,87.0,1188.0,507.0,46.0,69.0,34,003,053200
34003054100,2014,634.0,251.0,110.0,32.0,1034.0,381.0,124.0,0.0,34,003,054100
34003054200,2014,260.0,118.0,55.0,10.0,523.0,245.0,6.0,0.0,34,003,054200
34003054300,2014,571.0,368.0,314.0,343.0,696.0,665.0,100.0,85.0,34,003,054300
34003054400,2014,608.0,307.0,103.0,70.0,1156.0,521.0,38.0,62.0,34,003,054400
34003054500,2014,441.0,316.0,150.0,59.0,599.0,372.0,66.0,72.0,34,003,054500
34003054600,2014,828.0,339.0,74.0,49.0,1112.0,490.0,60.0,41.0,34,003,054600
34003055100,2014,644.0,362.0,503.0,167.0,808.0,449.0,312.0,75.0,34,003,055100
34003055200,2014,778.0,464.0,318.0,191.0,915.0,727.0,106.0,109.0,34,003,055200
34003056100,2014,519.0,186.0,8.0,41.0,472.0,331.0,0.0,0.0,34,003,056100
34003056200,2014,526.0,215.0,65.0,11.0,596.0,353.0,11.0,6.0,34,003,056200
34003057101,2014,245.0,158.0,6.0,11.0,292.0,151.0,24.0,0.0,34,003,057101
34003057102,2014,321.0,59.0,13.0,0.0,319.0,61.0,0.0,0.0,34,003,057102
34003057200,2014,165.0,35.0,0.0,10.0,207.0,67.0,0.0,9.0,34,003,057200
34003058100,2014,414.0,204.0,35.0,15.0,506.0,146.0,32.0,36.0,34,003,058100
34003058200,2014,579.0,240.0,79.0,62.0,583.0,212.0,78.0,16.0,34,003,058200
34003059100,2014,664.0,213.0,47.0,38.0,709.0,232.0,0.0,0.0,34,003,059100
34003059200,2014,514.0,237.0,61.0,0.0,617.0,290.0,31.0,28.0,34,003,059200
34003060000,2014,774.0,324.0,40.0,0.0,769.0,340.0,66.0,0.0,34,003,060000
34003061100,2014,476.0,274.0,127.0,59.0,658.0,301.0,73.0,47.0,34,003,061100
34003061200,2014,561.0,173.0,81.0,52.0,435.0,203.0,32.0,55.0,34,003,061200
34003061300,2014,519.0,137.0,67.0,30.0,460.0,231.0,41.0,18.0,34,003,061300
34003061400,2014,742.0,285.0,70.0,53.0,738.0,397.0,36.0,0.0,34,003,061400
34013000100,2014,268.0,90.0,36.0,15.0,320.0,49.0,14.0,14.0,34,013,000100
34013000200,2014,75.0,0.0,7.0,0.0,98.0,0.0,0.0,0.0,34,013,000200
34013000300,2014,188.0,0.0,0.0,9.0,116.0,0.0,0.0,0.0,34,013,000300
34013000400,2014,82.0,4.0,0.0,0.0,87.0,18.0,0.0,0.0,34,013,000400
34013000500,2014,48.0,28.0,0.0,0.0,55.0,22.0,22.0,0.0,34,013,000500
34013000600,2014,57.0,10.0,0.0,0.0,74.0,38.0,0.0,8.0,34,013,000600
34013000700,2014,112.0,56.0,0.0,0.0,172.0,65.0,0.0,0.0,34,013,000700
34013000800,2014,60.0,0.0,13.0,8.0,178.0,27.0,0.0,7.0,34,013,000800
34013000900,2014,87.0,8.0,0.0,0.0,94.0,27.0,0.0,0.0,34,013,000900
34013001000,2014,59.0,42.0,0.0,0.0,152.0,26.0,12.0,0.0,34,013,001000
34013001100,2014,156.0,20.0,0.0,17.0,35.0,55.0,0.0,0.0,34,013,001100
34013001300,2014,36.0,2.0,0.0,0.0,56.0,5.0,0.0,0.0,34,013,001300
34013001400,2014,35.0,7.0,0.0,13.0,65.0,11.0,3.0,0.0,34,013,001400
34013001500,2014,5.0,11.0,7.0,0.0,21.0,5.0,0.0,0.0,34,013,001500
34013001600,2014,21.0,7.0,12.0,12.0,31.0,10.0,0.0,0.0,34,013,001600
34013001700,2014,70.0,19.0,0.0,0.0,74.0,12.0,20.0,0.0,34,013,001700
34013001800,2014,61.0,11.0,0.0,0.0,56.0,18.0,7.0,0.0,34,013,001800
34013001900,2014,0.0,33.0,0.0,0.0,31.0,20.0,0.0,0.0,34,013,001900
34013002000,2014,83.0,21.0,17.0,0.0,200.0,69.0,19.0,0.0,34,013,002000
34013002100,2014,50.0,65.0,0.0,0.0,100.0,136.0,0.0,9.0,34,013,002100
34013002201,2014,236.0,119.0,12.0,0.0,202.0,71.0,26.0,0.0,34,013,002201
34013002202,2014,126.0,37.0,0.0,0.0,230.0,64.0,0.0,0.0,34,013,002202
34013002300,2014,148.0,31.0,19.0,10.0,219.0,26.0,0.0,0.0,34,013,002300
34013002400,2014,16.0,25.0,0.0,0.0,116.0,44.0,7.0,0.0,34,013,002400
34013002500,2014,66.0,0.0,0.0,0.0,94.0,10.0,0.0,0.0,34,013,002500
34013002600,2014,31.0,4.0,0.0,0.0,61.0,0.0,0.0,0.0,34,013,002600
34013002800,2014,18.0,0.0,0.0,0.0,45.0,54.0,0.0,0.0,34,013,002800
34013003100,2014,26.0,5.0,0.0,1.0,98.0,37.0,0.0,0.0,34,013,003100
34013003500,2014,61.0,20.0,0.0,0.0,72.0,16.0,6.0,0.0,34,013,003500
34013003700,2014,23.0,0.0,0.0,0.0,47.0,19.0,0.0,0.0,34,013,003700
34013003800,2014,15.0,6.0,0.0,0.0,115.0,31.0,0.0,0.0,34,013,003800
34013003900,2014,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34,013,003900
34013004100,2014,29.0,15.0,0.0,0.0,102.0,56.0,0.0,7.0,34,013,004100
34013004200,2014,80.0,5.0,0.0,0.0,86.0,21.0,0.0,43.0,34,013,004200
34013004300,2014,46.0,4.0,0.0,0.0,84.0,17.0,0.0,0.0,34,013,004300
34013004400,2014,3.0,22.0,0.0,0.0,29.0,8.0,0.0,0.0,34,013,004400
34013004500,2014,63.0,38.0,0.0,0.0,88.0,18.0,8.0,11.0,34,013,004500
34013004600,2014,17.0,26.0,0.0,0.0,134.0,58.0,0.0,0.0,34,013,004600
34013004700,2014,120.0,170.0,20.0,25.0,210.0,181.0,0.0,0.0,34,013,004700
34013004801,2014,16.0,15.0,27.0,0.0,73.0,31.0,0.0,0.0,34,013,004801
34013004802,2014,7.0,21.0,0.0,7.0,31.0,0.0,11.0,15.0,34,013,004802
34013004900,2014,89.0,8.0,0.0,16.0,155.0,88.0,0.0,5.0,34,013,004900
34013005000,2014,28.0,24.0,17.0,0.0,109.0,29.0,0.0,0.0,34,013,005000
34013005100,2014,16.0,22.0,0.0,0.0,55.0,32.0,0.0,0.0,34,013,005100
34013005200,2014,2.0,12.0,0.0,5.0,67.0,0.0,5.0,10.0,34,013,005200
34013005300,2014,25.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,34,013,005300
34013005400,2014,81.0,1.0,0.0,0.0,102.0,8.0,0.0,0.0,34,013,005400
34013005700,2014,79.0,13.0,15.0,0.0,47.0,4.0,0.0,2.0,34,013,005700
34013006200,2014,0.0,14.0,0.0,0.0,44.0,25.0,0.0,0.0,34,013,006200
34013006400,2014,98.0,55.0,16.0,17.0,159.0,89.0,8.0,31.0,34,013,006400
34013006600,2014,86.0,37.0,0.0,5.0,124.0,0.0,0.0,0.0,34,013,006600
34013006700,2014,81.0,0.0,0.0,0.0,80.0,23.0,0.0,4.0,34,013,006700
34013006800,2014,93.0,53.0,0.0,15.0,181.0,31.0,0.0,11.0,34,013,006800
34013006900,2014,183.0,26.0,0.0,0.0,91.0,8.0,0.0,0.0,34,013,006900
34013007000,2014,49.0,13.0,7.0,0.0,204.0,69.0,7.0,1.0,34,013,007000
34013007100,2014,176.0,0.0,0.0,22.0,141.0,33.0,22.0,14.0,34,013,007100
34013007200,2014,195.0,0.0,12.0,0.0,123.0,102.0,0.0,0.0,34,013,007200
34013007300,2014,77.0,0.0,22.0,0.0,249.0,27.0,0.0,0.0,34,013,007300
34013007400,2014,153.0,27.0,0.0,1.0,105.0,1.0,0.0,0.0,34,013,007400
34013007501,2014,100.0,0.0,0.0,15.0,185.0,9.0,0.0,0.0,34,013,007501
34013007502,2014,60.0,0.0,0.0,4.0,125.0,34.0,0.0,0.0,34,013,007502
34013007600,2014,136.0,31.0,0.0,0.0,110.0,10.0,0.0,0.0,34,013,007600
34013007700,2014,139.0,44.0,21.0,28.0,105.0,39.0,0.0,0.0,34,013,007700
34013007800,2014,98.0,14.0,13.0,0.0,71.0,17.0,10.0,3.0,34,013,007800
34013007900,2014,162.0,74.0,35.0,23.0,189.0,58.0,32.0,39.0,34,013,007900
34013008000,2014,151.0,76.0,27.0,9.0,90.0,34.0,67.0,0.0,34,013,008000
34013008100,2014,167.0,65.0,46.0,27.0,203.0,42.0,9.0,0.0,34,013,008100
